"EmpNum;""Type"";""First Name"";""Last Name"";""Birth Date"""
"49;""Employee"";""Jay"";""Ahern"";""1983-09-23"""
";""Son"";""Tom"";""Ahern"";""2018-06-05"""
";""Daughter"";""Jenny"";""Ahern"";""2015-12-14"""
";""Son"";""Larry"";""Ahern"";""2013-09-12"""
"4;""Employee"";""Andrew"";""Shaw"";""1983-09-26"""
";""Daughter"";""Jenny"";""Shaw"";""2015-09-19"""
";""Son"";""Sam"";""Shaw"";""2013-04-16"""
";""Spouse"";""Sue"";""Shaw"";""1983-09-26"""
"57;""Employee"";""Vandana"";""Devanaboyana"";""1991-07-09"""
"Total Employees;""3"";""Total Family Members"";""6"""
