"EmpNum";"Type";"FirstName";"LastName";"BirthDate"
13;"Employee";"Luke";"Sanders";"1983-09-09"
"";"Daughter";"Ellen";"Sanders";"2013-09-17"
"";"Spouse";"Karen";"Sanders";"1983-09-09"
1;"Employee";"Kelly";"Koberlein";"1984-10-28"
"";"Daughter";"Jenny";"Koberlein";"2014-01-15"
"";"Spouse";"Ken";"Koberlein";"1981-12-07"
9;"Employee";"Mark";"Wilson";"1986-04-05"
"";"Daughter";"Mary";"Wilson";"2011-08-18"
"";"Spouse";"Sandra";"Wilson";"1986-04-05"
7;"Employee";"Katherine";"Weiss";"1986-07-03"
"";"Son";"Ken";"Weiss";"2011-08-05"
11;"Employee";"Frank";"Garsen";"1986-09-09"
"";"Spouse";"Gretta";"Garsen";"1986-09-09"
6;"Employee";"Frank";"Petersen";"1991-01-09"
"";"Son";"Jack";"Petersen";"2014-08-17"
"";"Spouse";"Fran";"Petersen";"1991-01-09"
Total Employees - 6     Total Family Members - 10
